Metrik,Nilai,Target/Status
Total Kalori (7 hari),2507.0 kcal,50-80 kcal
Total Protein (g),254.78 g,≥30% dari kalori
Total Serat (g),190.50 g,≥35% dari massa
Total Kalsium (g),12.14 g,Rasio 2:1 dengan P
Total Fosfor (g),8.07 g,Seimbang dengan Ca
Total Gula (g),372.00 g,≤10% dari kalori
Persentase Protein (%),40.7%,30% (target)
Persentase Serat (%),30.2%,35% (target)
Rasio Ca:P,1.50:1,2:1 (optimal)
Persentase Gula (%),59.4%,≤10% (target)
Fitness Score,0.5506,Maksimal 1.0
Variasi Protein,2/7 jenis,Semakin bervariasi semakin baik
